Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,,,,,
Buckfastleigh,,122,R1,,20160730_233118.wac,0,2405.453,49.445,0_20160731_001123_453,31/07/2016,00:11:23,0,30/07/2016,12:11:23,12,RHFE,3,3,0.426703,,28,61.558,35.16,2.535,89.288,59.195,67.779,1277.335,63.688,1.348,170.063,2.059,17.25,1,RHFE,,,732,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,2141.435,71.964,0_20160728_001154_435,28/07/2016,00:11:54,0,27/07/2016,12:11:54,12,PIPY,687,650,0.499977,BABA;MYNA;RHFE;MYBR;MYDAU;MYBE;PLAUR,719,54.506,32.52,3.62,67.761,53.683,57.124,96.348,56.434,1.475,367.7,3.193,188.88,1,PIPY RHFE PIPY MYO,,,2430,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1967.625,68.373,0_20160726_001200_625,26/07/2016,00:12:00,0,25/07/2016,12:12:00,12,PIPY,393,376,0.57594,BABA;RHFE;MYNA;EPSE;VEMU,407,54.228,34.05,3.446,65.731,53.483,56.627,161.97,55.874,1.327,385.861,3.136,139.37,1,PIPY PIPY RHFE,,,2325,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2269.783,39.016,0_20160729_001203_783,29/07/2016,00:12:03,0,28/07/2016,12:12:03,12,PIPY,286,267,0.477414,BABA;RHFE;MYNA;MYBR;PLAUR;VEMU,292,54.501,35.95,3.428,66.577,53.84,57.063,130.291,56.422,1.4,379.096,3.137,59.78,1,PIPY MYO PIPY PIPY RHFE,,,2251,1,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,2105.504,91.795,0_20160727_001219_504,27/07/2016,00:12:19,0,26/07/2016,12:12:19,12,PIPY,535,465,0.252136,BABA;PIPI;RHFE;MYNA;MYDAU;EPSE;PLAUR;MYBE;VEMU;NYNO;NYLE,575,55.931,47.37,3.161,67.889,55.185,58.71,149.53,58.299,1.212,350.782,2.85,163.34,1,PIPY PIPY RHFE PIPY PIPY,,,2385,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2310.189,8.209,0_20160729_001244_189,29/07/2016,00:12:44,0,28/07/2016,12:12:44,12,PIPY,70,61,0.36746,BABA;RHFE;MYNA,74,57.303,36.88,4.797,67.635,56.401,59.609,83.988,59.318,1.271,199.678,4.5,20.11,1,PIPY RHFE,,,1821,1,
Buckfastleigh,,122,R1,,20160726_233715.wac,0,2135.319,70.48,0_20160727_001250_319,27/07/2016,00:12:50,0,26/07/2016,12:12:50,12,RHFE,5,5,0.71266,,21,64.172,70.32,7.357,84.658,57.283,67.524,2887.19,67.244,0.91,379.98,6.683,19.1,1,RHFE RHFE RHFE,,,926,3,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,2226.252,56.047,0_20160728_001319_252,28/07/2016,00:13:19,0,27/07/2016,12:13:19,12,PIPY,488,453,0.000977,RHFE;EPSE;BABA;MYBR;MYNA;MYDAU;RHFE;NYLE;PLAUR;VEMU,505,54.165,45.46,3.226,67.609,53.478,57.064,107.1,56.432,1.396,408.776,2.933,122.87,1,RHFE PIPY MYO MYO PIPY,,,2368,1,
Buckfastleigh,,122,R1,,20160729_233315.wac,0,2408.719,50.18,0_20160730_001323_719,30/07/2016,00:13:23,0,29/07/2016,12:13:23,12,RHFE,6,6,0.53772,,8,78.39,44.89,4.032,85.433,76.116,79.896,5460.983,79.36,0.444,14.883,2.902,2.9,1,RHFE,,,975,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,2056.039,26.56,0_20160726_001329_039,26/07/2016,00:13:29,0,25/07/2016,12:13:29,12,PIPY,170,152,0.415307,BABA;RHFE;PLAUR,175,55.246,33.61,4.312,66.931,54.336,57.585,132.944,56.753,1.292,382.688,3.962,62.57,1,PIPY PIPY RHFE RHFE RHFE,,,2075,3,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2364.58,45.819,0_20160729_001338_580,29/07/2016,00:13:38,0,28/07/2016,12:13:38,12,PIPY,346,315,0.429069,BABA;RHFE;MYBR;MYNA;MYBE,355,55.208,30.55,4.144,67.375,54.098,57.712,118.441,56.857,1.427,377.472,3.754,111.36,1,PIPY PIPY RHFE RHFE RHFE MYO,,,2296,3,
Buckfastleigh,,134,E1,,20160725_235524.wac,0,1126.365,12.133,0_20160726_001410_365,26/07/2016,00:14:10,0,25/07/2016,12:14:10,12,PIPI,28,27,0.551845,MYBR,32,47.227,42.16,2.378,54.282,46.558,48.866,335.648,48.773,0.927,291.358,2.029,14.92,1,PIPI RHFE,,,137,1,
Buckfastleigh,,122,R1,,20160730_233118.wac,0,2577.335,69.464,0_20160731_001415_335,31/07/2016,00:14:15,0,30/07/2016,12:14:15,12,RHHI,12,7,0.052152,RHFE,46,60.51,45.56,2.44,88.263,56.966,66.469,1403.797,62.872,1.44,-80.382,2.009,24.29,1,RHHI RHFE,,,1269,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2410.987,74.012,0_20160729_001424_987,29/07/2016,00:14:24,0,28/07/2016,12:14:24,12,PIPY,546,500,0.47378,BABA;MYNA;MYBE;MYBR;RHFE;PLAUR;EPSE;NYLE,561,54.191,37,3.167,65.724,53.522,56.718,129.273,56.058,1.283,359.204,2.863,165.34,1,PIPY MYO RHFE MYO RHFE,,,2392,2,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,2124.491,63.008,0_20160726_001437_491,26/07/2016,00:14:37,0,25/07/2016,12:14:37,12,PIPY,528,473,0.41652,BABA;PIPI;RHFE;MYNA;MYBR;MYBE;PLAUR;EPSE;VEMU;NYLE;NYNO,552,54.692,30.66,3.674,66.336,53.931,57.036,105.893,56.413,1.403,328.729,3.297,158.84,1,PIPY PIPY RHFE PIPY RHFE,,,2381,2,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,2288.573,14.425,0_20160727_001522_573,27/07/2016,00:15:22,0,26/07/2016,12:15:22,12,PIPY,107,90,0.212957,BABA;RHFE;MYBE,113,58.253,37.04,4.33,70.246,57.492,60.92,109.926,60.766,1.374,367.52,3.923,43.29,1,PIPY RHFE,,,1933,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,2187.559,14.24,0_20160726_001540_559,26/07/2016,00:15:40,0,25/07/2016,12:15:40,12,PIPY,62,51,0.332516,BABA;PIPI;RHFE;MYBR,66,57.225,36.74,4.523,67.025,55.743,59.24,153.895,58.841,1.377,264.143,4.209,19.56,1,MYO PIPY RHFE,,,1778,1,
